Caucasus Barometer 2021 Armenia

MAPPVB: Do you use the following messenger platforms and applications: Viber
Question text: Do you use the following messenger platforms and applications:Viber,
Note: The question was asked to the respondents who use the Internet

AGEGROUP: Age of the respondent
Question text: Age of the respondent
"Note: The variable is generated from AGE variable, present in the original dataset"

Cross tabulation (%),Mentioned,Not mentioned,DK
18-34,85,15,0
35-54,82,18,0
55+,67,32,0
