Caucasus Barometer 2021 Armenia

MAPPOT: Do you use the following messenger platforms and applications: Other
Question text: Do you use the following messenger platforms and applications:Other,
Note: The question was asked to the respondents who use the Internet

AGEGROUP: Age of the respondent
Question text: Age of the respondent
"Note: The variable is generated from AGE variable, present in the original dataset"

Cross tabulation (%),Mentioned,Not mentioned,DK
18-34,0,100,0
35-54,0,100,0
55+,1,99,0
